order_id,customer_id,product_name,category,order_date,unit_price,quantity,total_amount
1,CUST_052,Python Programming Book,Books,2023-12-15,41.54,1,41.54
2,CUST_083,Python Programming Book,Books,2023-08-03,41.61,1,41.61
3,CUST_024,Blender,Home & Kitchen,2023-05-11,59.39,1,59.39
4,CUST_030,MacBook Pro,Electronics,2023-10-21,1361.08,1,1361.08
5,CUST_058,Yoga Mat,Sports,2023-01-22,30.29,1,30.29
6,CUST_042,AirPods,Electronics,2023-07-07,214.78,3,644.34
7,CUST_003,Coffee Maker,Home & Kitchen,2023-11-03,88.21,1,88.21
8,CUST_018,MacBook Pro,Electronics,2023-03-30,1198.39,2,2396.78
9,CUST_053,Coffee Maker,Home & Kitchen,2023-12-06,101.98,1,101.98
10,CUST_035,iPhone 14,Electronics,2023-07-25,1065.0,2,2130.0
11,CUST_002,Face Cream,Beauty,2023-02-23,16.24,2,32.48
12,CUST_018,MacBook Pro,Electronics,2023-08-06,1505.3,2,3010.6
13,CUST_014,Python Programming Book,Books,2023-12-17,35.13,2,70.26
14,CUST_062,Jeans,Clothing,2023-10-23,54.5,1,54.5
15,CUST_053,Face Cream,Beauty,2023-10-07,18.24,1,18.24
16,CUST_041,iPhone 14,Electronics,2023-06-06,1194.74,1,1194.74
17,CUST_088,Python Programming Book,Books,2023-05-09,45.04,3,135.12
18,CUST_081,AirPods,Electronics,2023-06-12,187.62,1,187.62
19,CUST_041,Coffee Maker,Home & Kitchen,2023-01-28,94.43,1,94.43
20,CUST_034,Coffee Maker,Home & Kitchen,2023-02-02,96.07,3,288.21
21,CUST_037,Python Programming Book,Books,2023-04-09,46.18,2,92.36
22,CUST_065,Jeans,Clothing,2023-08-15,65.11,3,195.33
23,CUST_001,Face Cream,Beauty,2023-01-05,22.16,3,66.48
24,CUST_027,Face Cream,Beauty,2023-07-26,19.5,2,39.0
25,CUST_051,Coffee Maker,Home & Kitchen,2023-03-04,83.31,1,83.31
26,CUST_096,Jeans,Clothing,2023-08-10,62.5,3,187.5
27,CUST_015,T-Shirt,Clothing,2023-06-20,20.76,1,20.76
28,CUST_059,Blender,Home & Kitchen,2023-08-31,52.48,2,104.96
29,CUST_062,T-Shirt,Clothing,2023-05-14,28.82,2,57.64
30,CUST_092,iPhone 14,Electronics,2023-08-19,891.17,1,891.17
31,CUST_062,T-Shirt,Clothing,2023-05-01,28.6,1,28.6
32,CUST_070,Jeans,Clothing,2023-05-17,50.87,1,50.87
33,CUST_044,Blender,Home & Kitchen,2023-06-01,48.07,1,48.07
34,CUST_062,Coffee Maker,Home & Kitchen,2023-02-21,97.63,2,195.26
35,CUST_056,iPhone 14,Electronics,2023-03-22,1001.06,2,2002.12
36,CUST_054,Jeans,Clothing,2023-12-09,63.21,1,63.21
37,CUST_002,Face Cream,Beauty,2023-02-22,17.93,2,35.86
38,CUST_068,Python Programming Book,Books,2023-07-22,35.87,3,107.61
39,CUST_038,Jeans,Clothing,2023-10-07,63.19,2,126.38
40,CUST_011,iPhone 14,Electronics,2023-08-28,928.3,1,928.3
41,CUST_070,AirPods,Electronics,2023-12-15,159.85,3,479.55
42,CUST_090,T-Shirt,Clothing,2023-05-27,21.73,3,65.19
43,CUST_033,Coffee Maker,Home & Kitchen,2023-05-08,102.15,2,204.3
44,CUST_011,Face Cream,Beauty,2023-05-31,17.82,3,53.46
45,CUST_016,Yoga Mat,Sports,2023-12-12,26.89,1,26.89
46,CUST_048,Jeans,Clothing,2023-09-11,69.17,1,69.17
47,CUST_009,AirPods,Electronics,2023-08-21,196.26,3,588.78
48,CUST_003,Blender,Home & Kitchen,2023-06-01,52.83,1,52.83
49,CUST_075,Python Programming Book,Books,2023-04-23,42.69,2,85.38
50,CUST_099,Yoga Mat,Sports,2023-04-22,35.67,3,107.01
51,CUST_018,MacBook Pro,Electronics,2023-12-04,1273.17,2,2546.34
52,CUST_061,T-Shirt,Clothing,2023-06-18,20.17,1,20.17
53,CUST_014,T-Shirt,Clothing,2023-10-04,27.2,3,81.6
54,CUST_033,AirPods,Electronics,2023-06-25,163.09,2,326.18
55,CUST_030,Blender,Home & Kitchen,2023-02-07,49.72,1,49.72
56,CUST_008,MacBook Pro,Electronics,2023-10-10,1301.36,1,1301.36
57,CUST_028,AirPods,Electronics,2023-11-13,199.32,3,597.96
58,CUST_017,Jeans,Clothing,2023-06-21,56.87,2,113.74
59,CUST_037,iPhone 14,Electronics,2023-10-07,1186.65,2,2373.3
60,CUST_099,iPhone 14,Electronics,2023-07-07,922.27,3,2766.81
61,CUST_032,AirPods,Electronics,2023-06-10,184.08,2,368.16
62,CUST_095,Face Cream,Beauty,2023-02-23,20.55,3,61.65
63,CUST_024,Blender,Home & Kitchen,2023-04-24,42.79,3,128.37
64,CUST_027,Python Programming Book,Books,2023-09-30,34.18,1,34.18
65,CUST_048,Face Cream,Beauty,2023-02-08,19.35,3,58.05
66,CUST_050,Face Cream,Beauty,2023-01-13,20.0,3,60.0
67,CUST_045,iPhone 14,Electronics,2023-01-20,1118.31,2,2236.62
68,CUST_076,MacBook Pro,Electronics,2023-05-23,1268.0,2,2536.0
69,CUST_063,AirPods,Electronics,2023-12-08,155.15,1,155.15
70,CUST_062,Blender,Home & Kitchen,2023-05-05,57.2,2,114.4
71,CUST_049,Face Cream,Beauty,2023-06-29,18.42,2,36.84
72,CUST_060,iPhone 14,Electronics,2023-04-11,908.61,1,908.61
73,CUST_005,T-Shirt,Clothing,2023-04-13,20.51,2,41.02
74,CUST_094,AirPods,Electronics,2023-02-16,153.95,3,461.85
75,CUST_016,MacBook Pro,Electronics,2023-09-26,1207.93,2,2415.86
76,CUST_017,AirPods,Electronics,2023-04-30,149.64,2,299.28
77,CUST_090,Coffee Maker,Home & Kitchen,2023-04-27,97.04,3,291.12
78,CUST_001,Face Cream,Beauty,2023-02-27,19.53,1,19.53
79,CUST_096,Blender,Home & Kitchen,2023-05-06,53.19,1,53.19
80,CUST_001,Coffee Maker,Home & Kitchen,2023-09-29,87.67,3,263.01
81,CUST_093,AirPods,Electronics,2023-09-04,169.62,2,339.24
82,CUST_086,Jeans,Clothing,2023-07-04,48.97,3,146.91
83,CUST_062,Face Cream,Beauty,2023-07-23,19.92,2,39.84
84,CUST_039,iPhone 14,Electronics,2023-04-10,973.53,2,1947.06
85,CUST_023,Face Cream,Beauty,2023-09-07,21.07,2,42.14
86,CUST_034,Face Cream,Beauty,2023-06-29,23.46,2,46.92
87,CUST_096,Python Programming Book,Books,2023-09-14,42.93,1,42.93
88,CUST_016,Coffee Maker,Home & Kitchen,2023-10-07,72.95,2,145.9
89,CUST_032,Python Programming Book,Books,2023-12-06,41.16,2,82.32
90,CUST_033,Jeans,Clothing,2023-06-28,67.68,3,203.04
91,CUST_040,MacBook Pro,Electronics,2023-11-26,1089.1,1,1089.1
